Table B.2: Population (%) with Improved Water Improved Sanitation and Other Urban Basic Services in Selected Cities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population (%) with Improved Water Improved Sanitation and Other Urban Basic Services in Cities Selected Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,M49 classification,Country,,Year,Number of Cases,Improved water sources,,,,,,,,,,Total Improved water (d),Access to basic drinking water services (e),Improved sanitation facilities,,,,,,,Total Improved Sanitation (f),Access to basic sanitation services (g),Basic hand-washing facility (h),Durable housing (i),,,Sufficient living area (j),,,,Type of main cooking fuel,,,,,Source
Western Africa,Sub-Saharan Africa,Ghana,Kumasi,2014,"4,524",27.5,20.8,48.3,10.5,11.7,0.3,0.1,0.4,24.9,47.8,96.1,88.5,11,0,41.7,25.4,2.3,4.3,73.8,84.8,20.9,,98.7,97.1,,60.2,1.3,93.9,93.1,1.3,33.3,0,34.6,62.4,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Ghana,Kumasi,2016,"2,370",19.7,19,38.7,7.7,1.7,0.7,0.1,0,40.5,50.6,89.3,79.5,0,0,32.9,32.2,5.9,25.2,96.2,96.2,24,,79.5,95.9,99.4,61.3,0.4,97.1,89.2,0.4,36.3,0,36.7,61.4,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Ghana,Kumasi,2019,"1,118",27.4,8.7,36.2,9.4,2.7,,0.1,0,51,63.2,99.3,99.1,0,0.1,7.5,76.3,4.7,0.1,88.7,88.7,36.3,,99.8,95.6,99.3,66.2,3.7,96.7,90.5,0,39.6,,39.6,58.5,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Ghana,Takoradi,2019,470,21.1,25.1,46.2,0,0,,0,0,53.8,53.8,,93.7,0,0,33.9,45.6,7.9,9.7,97.1,97.1,12.2,,97.7,99.1,99.6,67.4,1,98.6,94.5,0.6,31.6,,32.2,65.2,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Guinea,Boké,2016,"1,693",58.3,29.7,87.9,8.1,1.5,0,0.9,0,1,11.6,99.5,13.2,2.8,0.9,5.7,22.6,10.3,41.5,81,83.8,59.6,42.7,93.4,95.5,94.3,77,,98.7,80.7,5,1.7,0,6.7,93.3,UN-Habitat_MICS
Western Africa,Sub-Saharan Africa,Guinea,Conakry,1999,"5,290",41.2,37.4,78.6,,14.3,0.5,0,2,,16.8,95.4,90.7,13.2,,63.6,,,,63.6,76.8,,,97.4,,,59.4,11,,73.1,,,,,,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Guinea,Conakry,2005,"5,578",47.3,44.4,91.7,,3.3,0,0,0,0,3.3,95,88.8,12.6,,3.6,,,58.6,62.2,74.7,29.5,,97.8,,,,33.2,,95.5,0.4,0.2,0.2,0.8,98,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Guinea,Conakry,2012,"8,145",83.7,2.8,86.5,6.6,4.7,0.1,0,0.2,1.3,12.9,99.4,76.6,7.7,0,3.5,44,10.3,25.6,83.4,91.1,38.3,20.2,94.9,99.3,99.9,59.1,1.7,96.9,93.8,0.1,0,0.1,0.3,98.4,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Guinea,Conakry,2016,"7,581",53.9,27.4,81.3,14.2,0.9,0,0,0.1,3.5,18.7,,53.8,4,0.3,8.6,35.2,9.2,41,94.2,98.2,43,24.6,99.4,97.9,98,48.6,,96.9,98,1.3,0.4,0,1.7,98.3,UN-Habitat_MICS
Western Africa,Sub-Saharan Africa,Guinea,Faranah,2016,"1,254",21.5,13.6,35.1,53.3,9.4,0,0,0,0.2,63,98.1,57,0,0.5,7.4,4.1,0.7,40.6,53.4,53.4,24.5,36.5,91.9,96.5,89.1,72.8,,97.3,62.9,1.1,0.3,0,1.4,98.6,UN-Habitat_MICS
Western Africa,Sub-Saharan Africa,Guinea,Kankan,2016,"1,373",15.9,13.3,29.2,31.9,27.8,1.1,1,0,1.7,63.4,92.6,37.1,0.9,0,2.2,3.1,0.3,67.2,72.9,73.8,38.6,1.7,94.7,92.7,92.4,58.9,,95.5,70.5,0,0,0,0,100,UN-Habitat_MICS
Western Africa,Sub-Saharan Africa,Guinea,Kindia,2016,"2,072",24.7,31,55.6,21.2,16.4,1.5,0.1,0.5,2,41.7,97.3,53.4,1.9,0,7.3,20.5,10.2,41.4,79.3,81.2,38.6,20.8,99.1,99,99.4,57.8,,95.4,92.1,0.1,0,0,0.1,99.9,UN-Habitat_MICS
Western Africa,Sub-Saharan Africa,Guinea,Labé,2016,507,15.2,17.4,32.6,25.1,36.7,0,0,0,4.1,65.9,98.6,82.7,2.3,0,11.8,19.3,0,54.7,85.9,88.2,70.5,9.5,99.7,96.9,98,73.1,,94.7,55.2,1.9,0.9,0,2.8,97.2,UN-Habitat_MICS
Western Africa,Sub-Saharan Africa,Guinea,Mamou,2016,633,13.2,12,25.2,22.5,40.9,1.7,0,1.7,4.4,71.1,96.3,79.7,2,0,3.5,21.6,3.2,61,89.3,91.3,59.7,10,,99.1,,74.4,,98.2,83.4,0,0.6,0,0.6,99.4,UN-Habitat_MICS
Western Africa,Sub-Saharan Africa,Guinea,N'Zérékoré,2016,"1,570",5.3,15.8,21.1,40.4,33.5,0,0,0,0.5,74.3,95.4,25.9,0,0.8,7.7,2.8,1.2,54.7,67.1,67.1,37.7,,90.5,98,98.9,82.1,,95.8,24.6,0,0,0,0,100,UN-Habitat_MICS
Western Africa,Sub-Saharan Africa,Guinea Bissau,Bafatá,2014,"1,241",1.3,15.3,16.6,32.2,38.9,0,0,0,0,71.1,87.7,66.6,0,0,0,8.9,0,9.6,18.5,18.5,14.6,0.3,71.2,21,93.4,88.7,1.6,98.5,16.4,0,0.3,0,0.3,99.7,UN-Habitat_MICS
Western Africa,Sub-Saharan Africa,Guinea Bissau,Gabú,2014,"1,423",14.5,40.3,54.8,8.1,27.6,0,0,0,0,35.6,90.4,91.3,0.4,0,0,9.5,0,6.5,16,16.5,11.6,3.6,53.2,5.6,91.9,79.1,0,95.7,27.7,0,0.4,0,0.4,99.6,UN-Habitat_MICS
Western Africa,Sub-Saharan Africa,Guinea Bissau,SAB,2000,"8,866",52.4,0,52.4,0,35.3,0,0,0.1,0,35.4,87.7,58.7,1.7,0,9.6,0.3,0,0.1,10,11.7,3,,99.8,93.8,90.3,34.7,,,,,,,,,UN-Habitat_MICS
Western Africa,Sub-Saharan Africa,Guinea Bissau,SAB,2006,"8,525",41.8,17.8,59.6,2.4,29.6,0.5,0,0,0.1,32.5,92.1,64.6,17.9,0,0,8.7,10.5,0,19.2,37.1,27.1,,88.3,46.4,94.7,49.8,14.1,67.5,44,0,2.8,0.6,3.4,96.6,UN-Habitat_MICS
Western Africa,Sub-Saharan Africa,Guinea Bissau,SAB,2014,"6,975",21.5,49.7,71.2,0.5,24.8,0.2,0,0,0.3,25.7,96.9,77.5,2.2,0,0,36.7,0,24.9,61.5,63.8,32,11.4,82.5,25.2,98.8,61.1,1.9,98.2,43.6,0.2,1.8,0,2,98,UN-Habitat_MICS
Eastern Africa,Sub-Saharan Africa,Kenya,Kisumu,2003,334,9.9,66,75.9,0,,,3.4,,0.4,3.8,79.7,65.7,20.9,,7.9,,,,7.9,28.8,20.9,,90.8,,89.3,62,44.1,,52.9,1,12.4,0,13.4,86.2,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Kenya,Kisumu,2008,367,28.9,45.4,74.3,0,1.9,7.4,3.1,2.6,3.8,18.9,93.2,86,25.2,0,7,12.8,9.9,17.9,51.6,76.8,52.4,,94.8,91.4,99.6,82.8,17.7,93.5,69,1.6,30.1,0.5,32.2,67.6,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Kenya,Mombasa,1993,762,37.4,51.1,88.5,,0.2,,0.4,,,0.6,89.1,86.4,36.1,,11.1,,,,11.1,36,,,77.3,77,75.8,68.3,,,48.7,,,,,,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Kenya,Mombasa,1998,822,33.2,37.7,70.9,,7.2,,0.1,,,7.3,78.3,52.3,35.2,,0.6,,,,0.6,27.4,,,78.1,,74.4,69,11.1,,52.1,,,,,,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Kenya,Mombasa,2003,850,30.2,58.5,88.7,1.4,,,0,,0.4,1.8,90.5,94.1,26.5,,15.3,,,,15.3,41.8,21.7,,82.8,,81.3,68.6,37.7,,48.5,0.5,4.7,0.1,5.3,93.9,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Kenya,Mombasa,2008,872,35.8,38.7,74.5,1.5,0,0,0,5.4,0.6,7.4,81.9,70.8,8.6,0,32.8,22.3,3.5,9.7,71.2,79.8,26.2,,96,79.3,95,60.7,11.1,83,61.7,6.5,6.2,1.5,14.2,85,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Kenya,Nairobi,1993,"1,917",67,24.5,91.5,,0,,0,,,0,91.5,74.3,56.7,,2.3,,,,2.3,27.6,,,76.2,66.4,96.7,60,,,52.3,,,,,,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Kenya,Nairobi,1998,"2,769",78.9,13.8,92.7,,0.8,,0,,,0.8,93.5,61.6,60.1,,12.2,,,,12.2,47.7,,,84.2,,96.1,63.1,14.7,,65.6,,,,,,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Kenya,Nairobi,2003,"2,857",81,12.3,93.3,0.2,,,0,,1.4,1.7,95,70.7,70.9,,2,,,,2,72.9,41.8,,86.9,,94.3,71,54,,77.5,2.3,24.2,0.7,27.2,71.9,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Kenya,Nairobi,2008,"2,404",80.1,11.9,92,1.2,2.4,0,0,0.1,2.9,6.7,98.7,81.9,69.2,0,5,5.4,8.2,6.5,25.4,94.6,47,,94.5,88.1,99.3,75.3,10.9,92.7,89.1,1.6,39.7,1,42.4,56.8,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Kenya,Nairobi,2014,"13,193",61.4,25.5,86.9,2.3,0.8,0,1,1.2,5.6,11,97.9,87.6,44.1,0,8.8,15.9,1.8,16.3,46,90.1,29.6,44.5,94.6,69,99.9,62.5,1,98,88,1.6,38.5,0.4,40.5,58.8,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Kenya,Nairobi,2015,"1,856",48.2,26.7,74.8,2.9,0,0,5,0.2,15.4,23.5,98.4,97.8,38.5,0,26.4,9.8,1.8,5.1,54.2,92.7,55.8,,99.7,67.7,100,77.2,2.7,99.6,97.9,,,,,,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Kenya,Nakuru,2003,719,39.3,12,51.3,17.1,,,0,,0,17.1,68.4,38.5,15.3,,21.4,,,,21.4,36.7,4.6,,72.7,,99.6,53,21.8,,30.5,0,0,0,0,99.3,UN-Habitat_DHS
Southern Africa,Sub-Saharan Africa,Lesotho,Maseru,2000,"1,071",42,43.4,85.4,2.5,0.2,2.1,,0.1,0,4.9,90.4,73.1,5.5,,35.7,,4,,39.7,67.3,,,84.4,,,78.2,,,17.9,,,,,,UN-Habitat_MICS
Southern Africa,Sub-Saharan Africa,Lesotho,Maseru,2004,"3,910",76.6,18.4,95,,3.3,,0,0,0,3.3,98.3,88,11.9,,37.7,,,,37.7,49.6,25.8,,95.5,,,,54.7,,39.1,11.6,64,0,75.6,24.4,UN-Habitat_DHS
Southern Africa,Sub-Saharan Africa,Lesotho,Maseru,2009,"4,225",56.6,26.4,83,5.7,0.4,1.4,0,0.4,0.1,8,91,72,3.3,2.2,20.7,2.9,0,30.1,56,59.4,23.6,,97.4,93.9,99.4,71,16.5,90.3,47,20.7,58.6,0.4,79.7,20.3,UN-Habitat_DHS
Southern Africa,Sub-Saharan Africa,Lesotho,Maseru,2014,"4,751",92.5,5.4,97.9,0.1,0.5,0.3,0,0,0.1,1.1,99,90.9,4.6,0,14,3.5,0,73.2,90.7,95.3,45.1,54.1,95.3,95.6,97.5,78.9,9.4,95.9,67.9,29.4,51.8,3.8,84.9,15.1,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Liberia,Monrovia,2007,"9,650",9.1,15.6,24.7,3.2,55.7,0.1,0,6.8,0.3,66,90.7,84.6,9.9,0.4,7.7,25.6,2.6,7,43.3,53.2,27.6,,91,74.6,93.9,55.6,,74.3,8.4,0,0.1,,0.1,99.2,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Liberia,Monrovia,2009,"5,620",19.3,14.5,33.8,2.2,54.1,0,0,1.6,5.8,63.7,97.5,,9.3,0.4,7.6,22.6,5.5,20.9,57.1,66.4,0,,90.6,88.1,92.8,43.3,0,82.1,5.5,0,0,0,0,99.7,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Liberia,Monrovia,2011,"5,614",5.8,18.5,24.2,1.3,51.1,0,0.8,4.4,3.9,61.6,85.8,73.6,1.7,0.5,4.8,42,7.7,4.1,59.1,60.8,23.7,,90.7,88.5,97.8,49.6,,85,12.5,0.2,0.4,0,0.6,98.2,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Liberia,Monrovia,2013,"14,354",3.5,5.6,9,0.9,66.9,1.6,0.2,7.9,8.6,86.1,95.1,86.5,2.9,0,19.3,38.7,2,7.2,67.2,70.2,33.7,,90.4,93.9,99.8,56.9,,94.5,28.3,0.2,0,0,0.2,98.4,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Liberia,Monrovia,2016,"7,390",11.4,7.9,19.3,30.6,9.8,0.1,0,1.1,38.2,79.8,99.1,90.5,3.5,0.1,4.1,59.3,7.9,9,80.7,84.2,37.4,,95.6,96.3,99.9,56.4,,90.3,48.8,0.3,0.1,0,0.4,98,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Madagascar,Antananarivo,1997,"8,792",23.8,54.8,78.7,0.5,5.2,,0,0,0,5.7,84.4,65.8,13.5,,1.3,,,,1.3,14.8,,,53.5,,,47.1,3.6,,55,,,,,,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Madagascar,Antananarivo,2000,"6,399",25.4,,91.9,1.9,0,0,,,0,1.9,93.8,58.1,14.2,,4,,,,4,32.4,27.6,,67.7,,,42.6,,,,,,,,,UN-Habitat_MICS
Eastern Africa,Sub-Saharan Africa,Madagascar,Antananarivo,2003,"3,230",19.8,60.7,80.5,,4,,0,0.1,0,4,84.5,77.6,10,,4.6,,76.4,,81,91,27.5,,67.7,,,,21.2,,65.8,1.5,4.6,0.6,6.6,93.3,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Madagascar,Antananarivo,2008,"4,200",21.3,70.8,92,0.4,4.9,0.3,0.1,0,0.3,6,98.1,91.3,0.9,0,2.2,18.2,0.7,3.9,25.1,25.9,15,,79.4,93.6,97.4,50.2,17.5,81.9,81.3,1.1,3.6,0.8,5.5,94.3,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Madagascar,Antananarivo,2011,144,15.6,71.4,87,1.4,7.3,0.9,0,0,0,9.6,96.6,,0,0,0,1.5,0,0.1,1.6,1.6,1.1,,71.4,89.4,78.5,41.6,7.1,60.7,53,0,0,0.1,0.1,99.4,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Madagascar,Antananarivo,2013,107,32,43.9,75.9,0,7.2,10.5,0,0,0,17.8,93.7,,0.7,0,0,0.5,3,31.6,35,35.7,13.9,,79.9,72.3,77.8,50.6,0.4,75.3,69.6,0.6,0,0.2,0.9,99.1,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Malawi,Blantyre,2006,"6,009",35.2,57.5,92.6,4.3,0.7,0,0,0,0,5,97.6,31.7,2.1,0,1.8,10.5,0.1,28.6,41.1,43.3,24.1,,81.9,99.7,94.4,100,7.4,45,41.8,12.9,0,0.1,13,87,UN-Habitat_MICS
Eastern Africa,Sub-Saharan Africa,Malawi,Blantyre,2014,"6,006",36,57.2,93.2,3.8,1.3,0.2,0,0,0.5,5.7,98.9,76.6,0.8,0,1.7,12.4,0,15.1,29.2,71.5,37.6,12.3,81.9,76.5,95.1,97.4,6.8,87.7,53.4,12.1,0,0,12.1,87.9,UN-Habitat_MICS
Eastern Africa,Sub-Saharan Africa,Malawi,Blantyre,2016,"5,319",39,40.5,79.5,13.6,3.5,0.4,,,0.2,17.7,97.2,77.9,2.5,0,0.7,4.6,1.5,88.8,95.6,98.1,34.6,,78.6,82.4,95.5,86.6,4.7,85.3,55.3,7.7,0,0,7.7,92.3,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Malawi,Blantyre,2017,"1,183",45,41.3,86.3,10.9,2,0,,0.1,0,13,99.4,95,4.5,0,0.5,7.7,0.7,44.4,53.4,57.9,31.4,,83,86.5,91.6,82.8,4.7,86.9,65.4,6.8,0.3,0,7,93,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Malawi,Lilongwe,1992,777,43.9,29.6,73.5,14.9,0,,0,0,0,14.9,98.1,90.9,18.8,,0,,,,0,18.8,,,61,,69.2,69.7,,,23.2,,,,,,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Malawi,Lilongwe,2000,"2,711",44.6,29.7,74.4,12.6,5.4,,0.4,0,0,18.5,92.9,64,17.9,,1.1,,,,1.1,19,15.7,,68,,,,,,34.3,17.7,,,17.7,82.3,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Malawi,Lilongwe,2004,"3,594",31.4,53.6,85.1,,8.4,,0,0,0,8.4,93.4,79.3,20,,1.9,,,,1.9,21.8,17.3,,66.7,,,76.2,31.4,,34.6,14.9,0,0,14.9,84.6,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Malawi,Lilongwe,2006,"6,411",22.8,57.4,80.2,11.9,2.4,0,0,0,0,14.3,94.5,66.4,0.7,0,0.5,6.4,0.3,35.9,43.1,43.8,18.1,,62,57.8,70,,2.6,30.4,20.3,6,0,0,6,93.8,UN-Habitat_MICS
Eastern Africa,Sub-Saharan Africa,Malawi,Lilongwe,2010,"5,834",32.5,39,71.5,9.6,3.1,0,0,0.5,0.1,13.4,84.9,69.4,7.2,0,9.4,,,28,37.4,44.6,21.9,,64.9,64.6,77.5,75,6.2,71.8,28.5,8.7,0,0,8.7,90.9,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Malawi,Lilongwe,2012,883,34.6,32.4,66.9,12.1,6.7,0.1,0,0,0,18.9,85.8,75.6,12.5,0,0.7,0,0,29.1,29.8,42.3,26.7,,66,93.1,84,68.8,5.6,76.7,24.6,8.2,0,0,8.2,91.7,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Malawi,Lilongwe,2014,"1,319",64,24,88.1,6.7,2.6,0,0,0,0,9.3,97.3,92.6,16.2,0.1,0.2,0,0,46.7,47,63.2,33.7,,83.7,94.7,92.6,75.8,4.4,85.5,47.5,13.8,0,0,13.8,86.2,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Malawi,Lilongwe,2014,"4,919",52.4,38.9,91.3,6.4,1.7,0,0,0,0,8.1,99.4,91.6,5.5,0,3.1,14.2,0.3,16.5,34.2,99.8,50.3,13.8,85,90.7,94.3,100,6.3,87.8,51,14,0,0,14,85.8,UN-Habitat_MICS
Eastern Africa,Sub-Saharan Africa,Malawi,Lilongwe,2016,"5,951",59.9,36.7,96.6,0.1,2.9,0,,,0,3,99.6,89,4.3,0.3,0,19.3,1.9,74.1,95.6,99.9,50.7,,81.2,89.3,95.3,85.3,7.6,91.2,50,21.2,0.3,0.2,21.7,78.2,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Malawi,Lilongwe,2017,"1,182",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Malawi,Mzuzu city,2014,800,91,2.9,93.9,4.9,0.4,0.5,0,,0,5.8,99.7,99.4,1,0.5,0,38.5,0,73.5,95.7,96.6,66.4,,76.6,82,85.8,93.2,6.5,94.8,50.9,7.3,0,,7.3,92.5,UN-Habitat_MICS
Eastern Africa,Sub-Saharan Africa,Malawi,Zomba city,2014,661,51.3,40.4,91.7,3.2,0.1,0,0.8,,0,3.3,94.9,88,0.3,0,0.9,24.6,0,77.4,91.5,91.8,56.4,,67.1,76.3,80.5,85.7,3.9,84.6,44.5,12.1,0,,12.1,87.5,UN-Habitat_MICS
Western Africa,Sub-Saharan Africa,Mali,Bamako,1996,"5,911",19.9,48.8,68.8,3.2,17.7,,0,0,0,20.9,89.7,79,5.3,,0,,17.8,,17.8,23.1,,,88.8,,,68.6,5.3,,39.9,,,,,,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Mali,Bamako,2001,"8,836",41.7,42.4,84.2,,5.1,,0,0,0,5.1,89.2,87.5,22.6,,25.6,,,,25.6,48.3,24.2,,76.4,,,,20.5,,59.4,0,1.6,0,1.6,97.8,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Mali,Bamako,2006,"8,805",40.9,52.2,93.1,0,2.3,0,0,0,0.4,2.7,95.8,92.8,13,0,48.3,,,,48.3,61.3,28.6,,81.8,,,64.1,22.1,66.9,74.7,0.1,1.4,0,1.5,97.7,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Mali,Bamako,2012,"9,268",33.3,54.2,87.5,1.9,8.4,0.1,0,0.9,0,11.2,98.7,94,9.8,0.3,3.9,6.3,4.7,65.8,81,90.8,47.5,27.8,72.2,80.9,95,71.9,10.7,96.4,84.6,0.2,1.4,0.8,2.5,97,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Mali,Bamako,2015,"6,527",39.6,47.4,87,1.9,8.4,0,0,1.2,0.4,11.9,98.9,94.7,3.9,0,0.9,10.2,3.3,75,89.7,93.6,60,,80.7,92.8,98.9,68.2,8.8,98.5,90.4,0.5,0.6,0,1.1,98.7,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Mali,Bamako,2015,"15,157",40.5,49.3,89.8,3.1,5.4,0.1,0,0.4,0.1,9.2,98.9,91.5,5.2,0.5,12.5,15.5,4.1,55.8,88.4,93.6,56.4,68.9,86.6,95.9,98,100,6.9,98.3,91.6,2,0.6,0,2.6,97,UN-Habitat_MICS
Western Africa,Sub-Saharan Africa,Mauritania,Nouakchott,2001,"9,678",27.4,65.8,93.2,,2,,0,3.7,0,5.7,98.9,69.8,5,,9.6,,,,9.6,14.5,10.6,,64.5,,,34.9,8.7,,48.3,0,48.8,0,48.8,49.5,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Mauritania,Nouakchott,2007,"15,760",18.2,12.1,30.3,0,0,0.1,0,67.5,,67.7,98,90.8,2.2,,13.1,38.8,0.1,23.8,75.8,77.9,61.1,,81.3,95,50.4,47.2,,86.6,80.8,2.3,65.9,0,70.4,31.3,UN-Habitat_MICS
Eastern Africa,Sub-Saharan Africa,Mozambique,Maputo,1997,"1,717",87.2,3.8,91,,8.2,,0,0,0,8.2,99.3,93.1,28.9,,3.6,,,,3.6,32.5,30.5,,84.6,,,65,8,,48.8,,,,,,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Mozambique,Maputo,2003,"2,940",66.6,6.4,73,,8.9,,0,,,8.9,81.8,73,9.2,,,,,,,9.2,8.9,,91.4,,,76.8,6.8,,31.7,3,8,0,11.1,88.9,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Mozambique,Maputo,2008,"3,633",67.9,24.2,92.1,,1,,0,,1.2,2.2,94.3,94.3,17.3,,31.3,17.8,,18.3,67.3,84.6,,,96.4,91.2,,77.2,6.1,89.7,74.2,4.2,17.7,,21.9,77.9,UN-Habitat_MICS
Eastern Africa,Sub-Saharan Africa,Mozambique,Maputo,2009,"1,310",59.9,36.9,96.9,0.7,0.8,0,0,0,1.5,3,99.8,,12.9,0,9.9,35,2.7,23.5,71.1,84,63,,95.2,94.1,99.5,87.1,6.6,90.7,83.6,6.8,22.8,0,27.7,70.3,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Mozambique,Maputo,2011,"6,342",83.1,12.2,95.4,0.9,1.3,0,0,0,1.5,3.7,99.1,96.1,0,0,27.8,0,0,14.2,66.7,66.7,57.6,37.1,97.3,93.6,99.7,77.9,4.9,96.4,90.7,6,23.8,0,29.9,70.1,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Mozambique,Maputo,2015,"1,713",88.8,0.7,89.5,0,1,0,0,0,3.7,4.7,99.8,97.2,63.5,,18.1,,,,18.1,81.6,68,,98.6,93.8,99.6,79,2.2,95.8,94.9,5.6,22.8,0,5.6,71.5,UN-Habitat_DHS
Eastern Africa,Sub-Saharan Africa,Mozambique,Maputo,2018,"1,483",93.9,4.3,98.3,0.4,0.1,0,0,0,1.3,1.7,100,99.4,8.2,0.3,22,49.8,6.4,7.3,86.2,94.5,85,,96.6,98,99.5,86.3,4.5,97.8,97.3,14.2,29.3,,43.5,56.5,UN-Habitat_DHS
Southern Africa,Sub-Saharan Africa,Namibia,Windhoek,1992,"5,290",94.8,3.5,98.3,,0.8,,0,0,0,0.8,99.1,93,90.7,,0.8,,,,0.8,91.5,,,94.9,,,63.5,,,67.4,,,,,,UN-Habitat_DHS
Southern Africa,Sub-Saharan Africa,Namibia,Windhoek,2000,"5,732",77.8,19.1,96.9,0.1,0,,0,0,0,0.1,97,82.6,79.3,,0.5,,,,0.5,79.7,55.8,,88.1,,,71.4,42.5,,74.9,62.3,17.2,0,79.5,20.5,UN-Habitat_DHS
Southern Africa,Sub-Saharan Africa,Namibia,Windhoek,2007,"7,441",84.8,11.8,96.6,0,0,0,0,0,1.2,1.2,97.7,85.1,87.1,0,0.5,0.4,0.8,0,2,89.1,67.7,,91.1,86.7,87.1,81.4,39.4,87.7,86.8,83.4,5.4,0.8,89.6,2,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Niger,Niamey,1992,"2,113",33.5,22.8,56.3,,2.2,,0,31.1,0.1,33.5,89.8,68.2,7.3,,67.7,,,,67.7,75,,,82.2,,,57.7,,,42.1,,,,,,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Niger,Niamey,1998,"2,715",34.4,32.4,66.8,2.4,2.2,,0,25.5,0,30.1,96.9,90.5,5.1,,0,,70.2,,0,75.3,,,79.8,,,61.3,6.3,,52.6,,,,,,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Niger,Niamey,2006,"3,447",43.6,47.7,91.3,0,2.8,0,0,0,0.1,3,94.2,89.8,10.7,0,34.1,,,,34.1,44.8,23.3,,70.2,,,52.1,8.7,50.7,61.6,0,3.5,0,3.5,96.3,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Niger,Niamey,2012,"10,455",48.7,46.3,95,1.5,0.5,0,0,0.2,0,2.3,97.3,86,5.9,,3.7,11.2,0,63.7,78.6,84.4,33.9,,83.3,56.9,67,61.1,7,89.3,73.5,0,4.8,0,4.8,94.3,UN-Habitat_DHS
Western Africa,Sub-Saharan Africa,Nigeria,Abuja,2007,232,36.5,8.8,45.2,20.6,9.1,0,0,19.1,0.7,49.5,94.7,73.2,28,,0,34.4,10.3,9.7,44,82.3,58.3,,93.3,95.7,98.9,55.2,8.5,84.4,87,3.2,7.4,0,10.6,89.4,UN-Habitat_MICS
Western Africa,Sub-Saharan Africa,Nigeria,Abuja,2008,"1,124",19.7,8.5,28.2,26.3,9.1,0,0.8,10.7,9.1,55.9,84.1,72.7,37.3,0,12.6,19.3,7.3,3.9,43.1,80.4,49.3,,96.7,93.2,99.8,63.7,7,93.4,83.2,3.1,13.9,0.3,17.4,82.2,UN-Habitat_DHS
