Indicator,Cities,Country,Region,Percentage_Value,Estimate_source,ObjectId
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Amparafaravola,Madagascar,Sub-Saharan Africa,70.88,UN-Habitat Urban Indicators Database,162
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Beverwijk/Heemskerk,Netherlands,Northern America and Europe,84.97,European Commission DG REGIO,163
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Cartago,Costa Rica,Latin America and the Caribbean ,51.1,UN-Habitat Urban Indicators Database,164
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Casablanca. This  includes Mohammedia town ,Morocco,Western Asia  and Northern Africa ,66.48,UN-Habitat Urban Indicators Database,165
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Castelldefels,Spain,Northern America and Europe,97.11,European Commission DG REGIO,166
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Catamarca,Argentina,Latin America and the Caribbean ,27.91,UN-Habitat Urban Indicators Database,167
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Catania,Italy,Northern America and Europe,86.75,European Commission DG REGIO,168
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Cebu City,Philippines,Eastern and South-Eastern Asia,48.08,UN-Habitat Urban Indicators Database,169
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Cergy-Pontoise,France,Northern America and Europe,93,European Commission DG REGIO,170
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Cerignola,Italy,Northern America and Europe,85.68,European Commission DG REGIO,171
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Çerkezköy,Turkey,Western Asia  and Northern Africa ,47.8,UN-Habitat Urban Indicators Database,172
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Ceske Budejovice,Czech Republic,Northern America and Europe,92.23,European Commission DG REGIO,173
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Cessnock,Australia,Australia and New Zealand ,87.69,UN-Habitat Urban Indicators Database,174
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Chaam,Thailand,Eastern and South-Eastern Asia,13.93,UN-Habitat Urban Indicators Database,175
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Chambery,France,Northern America and Europe,92.09,European Commission DG REGIO,176
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Chandigarh,India,Central and Southern Asia ,26.46,UN-Habitat Urban Indicators Database,177
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.","Changzhi, Hunan",China,Eastern and South-Eastern Asia,51.47,UN-Habitat Urban Indicators Database,178
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.","Changzhou, Jingsu",China,Eastern and South-Eastern Asia,59.25,UN-Habitat Urban Indicators Database,179
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Cua & Charallave &  Ocumare Del Tu,Venezuela,Latin America and the Caribbean ,33.09,UN-Habitat Urban Indicators Database,180
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Cuenca,Ecuador,Latin America and the Caribbean ,58.42,UN-Habitat Urban Indicators Database,181
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Cuiabá,Brazil,Latin America and the Caribbean ,80.08,UN-Habitat Urban Indicators Database,182
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Culiacan,Mexico,Latin America and the Caribbean ,8.56,UN-Habitat Urban Indicators Database,183
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Cumaná,Venezuela,Latin America and the Caribbean ,41.82,UN-Habitat Urban Indicators Database,184
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Béziers,France,Northern America and Europe,97.53,European Commission DG REGIO,185
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Curitiba,Brazil,Latin America and the Caribbean ,70.86,UN-Habitat Urban Indicators Database,186
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Cusco,Peru,Latin America and the Caribbean ,55.74,UN-Habitat Urban Indicators Database,187
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Cyangugu,Rwanda,Sub-Saharan Africa,33.09,UN-Habitat Urban Indicators Database,188
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Cz?stochowa,Poland,Northern America and Europe,89.57,European Commission DG REGIO,189
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Dacorum,United Kingdom,Northern America and Europe,97.26,European Commission DG REGIO,190
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Dakar,Senegal,Sub-Saharan Africa,62.98,UN-Habitat Urban Indicators Database,191
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Damak,Nepal,Central and Southern Asia ,18.22,UN-Habitat Urban Indicators Database,192
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Darlington,United Kingdom,Northern America and Europe,98.11,European Commission DG REGIO,193
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Darmstadt,Germany,Northern America and Europe,94.86,European Commission DG REGIO,194
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Darwin,Australia,Australia and New Zealand ,91.56,UN-Habitat Urban Indicators Database,195
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bayamo,Cuba,Latin America and the Caribbean ,21.87,UN-Habitat Urban Indicators Database,196
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Daska,Pakistan,Central and Southern Asia ,11.09,UN-Habitat Urban Indicators Database,197
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Dasoguz,Turkmenistan,Central and Southern Asia ,9.15,UN-Habitat Urban Indicators Database,198
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Daugavpils,Latvia,Northern America and Europe,85.96,European Commission DG REGIO,199
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Daule,Ecuador,Latin America and the Caribbean ,12.34,UN-Habitat Urban Indicators Database,200
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Debrecen,Hungary,Northern America and Europe,95.52,European Commission DG REGIO,201
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Dehdasht ,Iran,Central and Southern Asia ,62.19,UN-Habitat Urban Indicators Database,202
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Delmenhorst,Germany,Northern America and Europe,94.22,European Commission DG REGIO,203
